ID,Long,Lat,Country,Island,pop,geometry
40873,10.373462,54.87811,Denmark,AEro,5614.0,POINT (10.373462 54.87811)
40888,11.533881,54.974356,Denmark,Femo,430.0,POINT (11.533881 54.974356)
40894,-8.529217,54.991948,Ireland,Aran Island,237.0,POINT (-8.529217 54.991948)
40903,10.597151,54.99587,Denmark,Tasinge,8684.0,POINT (10.597151 54.99587)
40906,12.31806,54.967755,Denmark,Mon,9719.0,POINT (12.31806 54.967755)
40937,10.780675,54.918904,Denmark,Langeland,11555.0,POINT (10.780675 54.918904)
40939,10.007638,55.142892,Denmark,Helnaes,492.0,POINT (10.007638 55.142892)
40971,14.910251,55.124368,Denmark,Bornholm,37733.0,POINT (14.910251 55.124368)
40984,166.262058,55.061901,Russia,Ostrov Beringa,599.0,POINT (166.262058 55.061901)
41026,10.328873,55.325892,Denmark,Fyn,459529.0,POINT (10.328873 55.325892)
41040,12.762608,55.638186,Denmark,Saltholm,149.0,POINT (12.762608 55.638186)
41049,12.597652,55.615829,Denmark,Amager,2492297.0,POINT (12.597652 55.615829)
41050,-5.23733,55.57145,United Kingdom,Isle of Arran,7916.0,POINT (-5.23733 55.57145)
41051,-5.744369,55.685344,United Kingdom,Gigha Island,128.0,POINT (-5.744369 55.685344)
41061,10.295499,55.759933,Denmark,Endelave,876.0,POINT (10.295499 55.759933)
41063,-4.920045,55.766969,United Kingdom,Great Cumbrae Island,1343.0,POINT (-4.920045 55.766969)
41068,11.81555,55.77614,Denmark,Oro,5404.0,POINT (11.81555 55.77614)
41102,11.140714,55.888771,Denmark,Sejero,669.0,POINT (11.140714 55.888771)
41106,-5.099019,55.830332,United Kingdom,Island of Bute,4646.0,POINT (-5.099019 55.830332)
41113,-6.245631,55.760354,United Kingdom,Islay,6272.0,POINT (-6.245631 55.760354)
41131,10.586545,55.855711,Denmark,Samso,3527.0,POINT (10.586545 55.855711)
41198,11.870398,55.568685,Denmark,Sjaelland,2492297.0,POINT (11.870398 55.568685)
41204,-6.204375,56.075824,United Kingdom,Colonsay,410.0,POINT (-6.204375 56.075824)
41316,-5.639562,56.23223,United Kingdom,Torsa Island,221.0,POINT (-5.639562 56.23223)
41349,-5.544228,56.396708,United Kingdom,Kerrera,116.0,POINT (-5.544228 56.396708)
41388,-6.885431,56.500406,United Kingdom,Tiree,2050.0,POINT (-6.885431 56.500406)
41391,-5.515735,56.510577,United Kingdom,Lismore Island,233.0,POINT (-5.515735 56.510577)
41416,-6.026283,56.447601,United Kingdom,Island of Mull,3526.0,POINT (-6.026283 56.447601)
41427,-6.560596,56.628711,United Kingdom,Coll Island,782.0,POINT (-6.560596 56.628711)
41440,11.571392,56.711898,Denmark,Anholt,670.0,POINT (11.571392 56.711898)
41516,-6.15452,56.903744,United Kingdom,Eigg Island,195.0,POINT (-6.15452 56.903744)
41518,-7.537184,56.929286,United Kingdom,Orosay,65.0,POINT (-7.537184 56.929286)
41565,-7.466944,56.986007,United Kingdom,Barra Island,1456.0,POINT (-7.466944 56.986007)
41570,-6.540648,57.056273,United Kingdom,Sanday Island,87.0,POINT (-6.540648 57.056273)
41653,11.022993,57.275732,Denmark,Laeso,1731.0,POINT (11.022993 57.275732)
41679,16.677718,56.745956,Sweden,Oland,24967.0,POINT (16.677718 56.745956)
41711,-7.329067,57.25025,United Kingdom,South Uist,1649.0,POINT (-7.329067 57.25025)
41752,-7.306881,57.443899,United Kingdom,Benbecula,1240.0,POINT (-7.306881 57.443899)
41770,-7.244844,57.492425,United Kingdom,Grimsay,270.0,POINT (-7.244844 57.492425)
41777,-6.038291,57.405909,United Kingdom,Island of Raasay,265.0,POINT (-6.038291 57.405909)
42013,-7.286643,57.599686,United Kingdom,North Uist,2028.0,POINT (-7.286643 57.599686)
42027,-6.246617,57.361423,United Kingdom,Island of Skye,12112.0,POINT (-6.246617 57.361423)
42060,-7.18393,57.720953,United Kingdom,Berneray,344.0,POINT (-7.18393 57.720953)
42064,9.651567,57.196953,Denmark,Oland,310453.0,POINT (9.651567 57.196953)
42146,23.243504,57.801316,Estonia,Ruhnu Saar,127.0,POINT (23.243504 57.801316)
42309,18.510063,57.48705,Sweden,Gotland,51836.0,POINT (18.510063 57.48705)
42409,19.165122,57.936173,Sweden,Faro,4432.0,POINT (19.165122 57.936173)
42680,23.985236,58.12936,Estonia,Kihnu,628.0,POINT (23.985236 58.12936)
42878,-6.842651,58.230371,United Kingdom,Great Bernera,308.0,POINT (-6.842651 58.230371)
43091,21.862756,58.382116,Estonia,Vilsandi,81.0,POINT (21.862756 58.382116)
43094,19.246735,58.365643,Sweden,Gotska Sandon,64.0,POINT (19.246735 58.365643)
43231,-6.657756,58.132921,United Kingdom,Lewis with Harris,16917.0,POINT (-6.657756 58.132921)
43460,22.547887,58.394331,Estonia,Saaremaa,28562.0,POINT (22.547887 58.394331)
43722,-3.109605,58.829539,United Kingdom,Flotta,655.0,POINT (-3.109605 58.829539)
43882,-3.293863,58.851404,United Kingdom,Hoy,313.0,POINT (-3.293863 58.851404)
43989,18.254106,58.9378,Sweden,Uto,1098.0,POINT (18.254106 58.9378)
44232,-2.859656,59.048906,United Kingdom,Shapinsay,545.0,POINT (-2.859656 59.048906)
44240,22.632922,58.887297,Estonia,Hiiumaa,8648.0,POINT (22.632922 58.887297)
44372,5.699256,59.106695,Norway,Rennesoya,2703.0,POINT (5.699256 59.106695)
44374,150.628351,59.059392,Russia,Ostrov Zav'yalova,66.0,POINT (150.628351 59.059392)
44416,-2.609219,59.107904,United Kingdom,Stronsay Island,614.0,POINT (-2.609219 59.107904)
44527,-3.036673,59.160593,United Kingdom,Rousay,530.0,POINT (-3.036673 59.160593)
44650,-2.774695,59.189172,United Kingdom,Eday,462.0,POINT (-2.774695 59.189172)
44751,-2.563216,59.25816,United Kingdom,Sanday Island,1205.0,POINT (-2.563216 59.25816)
44806,-2.960244,59.296579,United Kingdom,Westray,1167.0,POINT (-2.960244 59.296579)
45040,18.88257,59.421079,Sweden,Moja,1500.0,POINT (18.88257 59.421079)
45328,24.518,59.566128,Estonia,Naissaar,187.0,POINT (24.518 59.566128)
46832,22.46262,59.867081,Finland,Rosalalandet,617.0,POINT (22.46262 59.867081)
47736,20.932048,59.933734,?land,Kokar,200.0,POINT (20.932048 59.933734)
47971,5.409081,59.859856,Norway,Stord,20061.0,POINT (5.409081 59.859856)
48010,22.426138,59.955682,Finland,Kakskiela,72.0,POINT (22.426138 59.955682)
48212,5.161958,59.993613,Norway,Selbjorn,1118.0,POINT (5.161958 59.993613)
48214,5.072443,60.002369,Norway,Stolmen,132.0,POINT (5.072443 60.002369)
48239,20.562606,60.029736,?land,Ostersocknen,337.0,POINT (20.562606 60.029736)
48242,20.43448,60.038765,?land,Degero,61.0,POINT (20.43448 60.038765)
48254,-44.899592,60.050509,Greenland,Illukasik,32996.0,POINT (-44.899592 60.050509)
48263,5.544721,59.996555,Norway,Tysnesoya,1873.0,POINT (5.544721 59.996555)
48295,5.247134,60.055309,Norway,Huftaroy,2873.0,POINT (5.247134 60.055309)
48325,5.14998,60.124097,Norway,Hundvako,318.0,POINT (5.14998 60.124097)
48329,-2.081244,60.137376,United Kingdom,Foula Island,133.0,POINT (-2.081244 60.137376)
48336,20.261839,60.115285,?land,Lumparland,24725.0,POINT (20.261839 60.115285)
48367,21.601495,60.146183,Finland,Korppoo,570.0,POINT (21.601495 60.146183)
48371,-45.27849,60.15269,Greenland,,870.0,POINT (-45.27849 60.15269)
48373,-1.1041,60.147895,United Kingdom,Bressay Island,629.0,POINT (-1.1041 60.147895)
48393,21.804275,60.175688,Finland,Stortrasket,600.0,POINT (21.804275 60.175688)
48401,22.026329,60.18286,Finland,Lillandet,78.0,POINT (22.026329 60.18286)
48422,21.374026,60.207268,Finland,Houtskar,544.0,POINT (21.374026 60.207268)
48464,22.263142,60.228447,Finland,Stortervolandet,8954.0,POINT (22.263142 60.228447)
